Ani_1,3.282754e+00,5.712804e+00,7.995392e+00
Ani_2,1.936335e+00,4.054328e+00,7.510981e+00
Ani_3,1.740812e+00,3.863645e+00,7.362433e+00
Ani_4,1.870875e+00,3.467722e+00,8.603801e+00
Ani_5,1.832277e+00,3.370315e+00,8.730990e+00
Kenshin_1,3.359698e+00,6.548790e+00,7.066753e+00
Kenshin_2,4.637600e+00,8.570135e+00,7.452817e+00
Kenshin_3,1.530388e+00,2.580314e+00,1.012006e+01
Kenshin_4,2.370227e+00,4.366418e+00,8.060159e+00
Kenshin_5,3.179465e+00,6.963186e+00,6.329724e+00
abjones_1,3.081750e+00,5.189388e+00,8.381476e+00
abjones_2,4.894750e+00,9.814941e+00,7.014127e+00
abjones_3,8.936960e-01,4.102917e+00,5.140135e+00
abjones_4,5.042925e-01,4.211193e+00,4.310741e+00
abjones_5,-5.161852e-01,7.120327e-01,8.237409e+00
amy_1,1.522483e+00,2.726337e+00,9.540267e+00
amy_10,2.518965e+00,4.650944e+00,7.911217e+00
amy_11,2.711611e+00,5.073318e+00,7.660475e+00
amy_12,2.682869e+00,5.103596e+00,7.544188e+00
amy_13,3.213940e+00,4.773807e+00,9.666261e+00
amy_14,3.322500e+00,6.648035e+00,6.889562e+00
amy_15,1.340667e+00,2.752562e+00,8.755862e+00
amy_16,3.043719e+00,5.141842e+00,8.369814e+00
amy_2,3.393846e+00,6.347153e+00,7.367621e+00
amy_3,2.776575e+00,5.101476e+00,7.770237e+00
amy_4,2.019238e+00,3.503750e+00,9.004954e+00
amy_5,3.225778e+00,5.633834e+00,7.984750e+00
amy_6,2.615701e+00,5.202166e+00,7.241308e+00
amy_7,9.320988e-01,1.771374e+00,1.069808e+01
amy_8,3.379780e+00,5.943754e+00,7.872163e+00
amy_9,3.528546e+00,6.162106e+00,7.892563e+00
annar_1,2.176834e+00,4.883707e+00,6.734898e+00
annar_2,2.139370e+00,4.084427e+00,7.995711e+00
annar_3,2.001107e+00,4.115075e+00,7.565107e+00
annar_4,2.339942e+00,4.447943e+00,7.823017e+00
annar_5,2.015123e+00,3.688517e+00,8.513245e+00
ariel_1,2.146193e+00,4.673566e+00,6.973923e+00
ariel_2,1.481342e+00,2.893638e+00,8.847106e+00
ariel_3,2.572814e+00,4.930517e+00,7.561522e+00
ariel_4,1.037331e+00,2.438891e+00,8.590860e+00
ariel_5,1.422075e+00,2.723152e+00,9.149951e+00
bobon_1,3.068964e+00,6.343174e+00,6.736949e+00
bobon_2,2.267996e+00,4.093036e+00,8.342840e+00
